2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Цезарь, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Целитель, ВДГ|Профит Голд, ВДГ; Санитар, ВДГ; Танос, ВДГ; Таношанс, ВДГ; Тонус, ВДГ; Улис, ВДГ; Фамокс, ВДГ;
Цензор Макс, МКЭ|Берилл, КЭ; Селект, КЭ; Макси Злак, КЭ;
Центрино, ВК|Ретацел, ВК; Рэгги, ВРК; Це Це Це 750, ВК; Цегран, ВК;
Центурион Нео, КЭ|Злактерр, КЭ; Злакобой, КЭ; Капилео, КЭ; Клетодим Плюс Микс, КЭ; Клетодим Плюс Микс, КЭ 2249; Клетошанс, КЭ; Ланкастер, КЭ; Легат, КЭ; Легион Комби, КЭ; Легион, КЭ; Рондо, КЭ; Секач, КЭ; Селектор, КЭ; Центурион, КЭ; Элефант, КЭ; Эфес, КЭ;
Центурион Профи, КЭ|Выбор, КЭ;
Центурион, КЭ|Злактерр, КЭ; Злакобой, КЭ; Капилео, КЭ; Клетодим Плюс Микс, КЭ; Клетодим Плюс Микс, КЭ 2249; Клетошанс, КЭ; Ланкастер, КЭ; Легат, КЭ; Легион Комби, КЭ; Легион, КЭ; Рондо, КЭ; Секач, КЭ; Селектор, КЭ; Центурион Нео, КЭ; Элефант, КЭ; Эфес, КЭ;
Цепеллин Эдванс, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ;
Цепеллин, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Цериакс Плюс, КЭ|--
Ци-Альфа, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Цунами, КЭ;
Цидели Топ, ДК|--
Циклон, КЭ|Нурбел, КЭ; Нуримет Экстра, КЭ; Ранголи-Норил, КЭ; Суперкилл, КЭ; Шаман, КЭ;
Цимус Прогресс, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ 1574;
Цимус, КС|Алькор, КС; Рекрут, КС;
Циперус, КЭ|Арриво, КЭ; Молния Экстра, КЭ; Патрий, КЭ; Ципи, КЭ; Циракс, КЭ; Цитокс, КЭ; Шарпей, МЭ; 
Ципи Плюс, КЭ|--
Ципи, КЭ|Арриво, КЭ; Молния Экстра, КЭ; Патрий, КЭ; Циперус, КЭ; Циракс, КЭ; Цитокс, КЭ; Шарпей, МЭ; 
Циракс, КЭ|Арриво, КЭ; Молния Экстра, КЭ; Патрий, КЭ; Циперус, КЭ; Ципи, КЭ; Цитокс, КЭ; Шарпей, МЭ; 
Циркон, Р|--
Цитадель 25, МД|Гуд-Харвест Пеноксулам 25, МД;
Цитодеф-100, ВРП|--
Цитокс, КЭ|Арриво, КЭ; Молния Экстра, КЭ; Патрий, КЭ; Циперус, КЭ; Ципи, КЭ; Циракс, КЭ; Шарпей, МЭ; 
Цихом, СП|--
Цицерон, ВДГ|Алтис, ВДГ; Арпад, ВДГ; Гримс, ВДГ; Денди, СТС; Кассиус, ВРП; Маис, СТС; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Тример, ВДГ; Шантус, ВДГ; 
Цукрон+, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Шанстрел 300, ВР; 
Цунами, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ;
Чемп ДП, ВДГ|--
Чермен, ВДГ|Агрон Гранд, ВДГ; Клео, ВДГ; Клопер 750, ВДГ; Клопирид, ВДГ; Лонтерр, ВДГ; Лонтрел гранд, ВДГ; Монолит, ВДГ; Приклад, ВДГ; Силард, ВДГ; Сонхус, ВДГ; Хакер, ВРГ;
Чисталан экстра, КЭ |--
Чисталан, КЭ |--
Чисталан-супер, КЭ |--
Чистогряд, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Граунд, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; 
Чистофлор, КЭ|Пеон, КЭ; Агролекарь, КЭ; Прогноз, КЭ; Профи, КЭ; Профикс, КЭ; Скиф, КЭ; Тилт, КЭ; Тимус, КЭ; Атлант, КЭ; Пропи Плюс, КЭ; ПропиШанс, КЭ; Титан, КЭ;
Чистоцвет БАУ, ВР|--
Чистоцвет, КЭ|Дискор, КЭ; Дискор, КЭ 2347; Плантенол, КЭ; Раёк, КЭ; Ранголи-Курсор, КЭ; Скор, КЭ; Скорошанс, КЭ; Скорый, КЭ; Фарди, КЭ; Хранитель, КЭ; Эпсилон, КЭ;
Шаман, КЭ|Нурбел, КЭ; Нуримет Экстра, КЭ; Ранголи-Норил, КЭ; Суперкилл, КЭ; Циклон, КЭ;
Шанс 24, КЭ|Эксифир, КЭ;
Шанс Голд, КС|Десперадо, КС; Интермеццо, КС; Каллисто, СК; Мезокорн, КС; Меис, КС; Франкорн, КС; Эгида, СК;
Шанс ДКБ, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР;
Шанс Профи, ВДГ|Монарх, ВДГ; Регент, ВДГ; 
Шансгард, КС|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС;
Шансил Трио, КС |Доспех 3, КС; Тритон, КС; Фаворит Трио, КС;
Шансил Ультра, КС|Раксил Ультра, КС; Раназол Ультра, КС;
Шансил, КС|Икарус, В КЭ; Гранберг, КЭ; Колосаль, КЭ; Тебузол, ВЭ; Фараон, КЭ; Фезан 250, КЭ; Фоликур, КЭ;
Шансилин, ВДГ|Димилин, ВДГ;
Шанситек, КЭ|Мекар, МЭ; Вертимек, КЭ; Клеопатра, КЭ; Сарейп, КЭ;
Шансометокс Трио, КС|Селест Топ, КС;
Шансомитрон, КС|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС;
Шанстар Плюс, ВДГ|Статус Гранд, ВДГ;
Шанстар, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Экспресс, ВДГ;
Шансти, ВДГ|Алсион, ВДГ; Аллерт, СТС; Альфа-Гард, ВДГ; Купаж, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони Про, ВДГ; Хармони, СТС; 
Шанстрел 300, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; 
Шансюген, ВЭ|Авантикс Экстра, ЭМВ; Ирбис, ЭМВ; Оцелот Плюс, КЭ; Тайгер, ЭМВ; Фабрис, ЭМВ; Феноксоп 7.5, ЭМВ; Фокстрот, ВЭ;
Шантус, ВДГ|Алтис, ВДГ; Арпад, ВДГ; Гримс, ВДГ; Денди, СТС; Кассиус, ВРП; Маис, СТС; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Тример, ВДГ; Цицерон, ВДГ
Шарпей, МЭ|Арриво, КЭ; Молния Экстра, КЭ; Патрий, КЭ; Циперус, КЭ; Ципи, КЭ; Циракс, КЭ; Цитокс, КЭ;
Шин-Етсу МД Л, Д|--
Шин-Етсу МД СТТ, Д|--
Ширлан, СК|Зуммер, КС; Ширма, КС;
Ширма, КС|Зуммер, КС; Ширлан, СК;
Шквал, ВК|Арбонал, ВК; Ас, ВК; Грейдер, ВГР;
Шкипер, ВР|Актеон, ВР; Дикамерон, ВР; Зенарил, ВР; Кирай, ВР; Круцифер, ВР; Лерашанс, ВР; Мегалит, ВР; Меридиан, ВР; Рапсан, ВР;
Шогун, КЭ|--
Эверест, ВДГ|Кентавр, ВДГ;
Эвито Т, КС|--
Эволюшн, КЭ|--
Эгида, СК|Десперадо, КС; Интермеццо, КС; Каллисто, СК; Мезокорн, КС; Меис, КС; Франкорн, КС; Шанс Голд, КС;
Эквит, ВР|Абидос, ВР; Адекват, ВР; Альфа-Дикват, ВР; Волат, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Лост, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР;
Экогель экстра, ВР|--
ЭкоЛарикс, ВРП|--
Экономикс Колор, КС|Раксон, КС; Стингер, КС; Тебу 60, МЭ; Тебузан, ТКС; Террасил, КС; АлтСил, КС; Бункер, ВСК; Грандсил, КС; Доспех, КС; Редут, КС; Сфинкс, КС; Тебуконазол, КС; Фразол Классик, КС; 
Экопин, ТПС|Альбит, ТПС; Альбит, ТПС (РРС);
Экселент, КС|--
Эксперт 22, КЭ|Агротех-Гарант-22, КЭ; Бетаниум 22, КЭ; Бельведер, СЭ; Бетахим 22, КЭ ; Бетацвай, КЭ ; Беташанс Дабл, КЭ; Бетинол 22, КЭ ; Бифор 22, ВСК; Бифор 22, КЭ ; Вымпел 2, КЭ; Доцент, КЭ; Секира Дуэт, КС; Секунда, КЭ; Эксперт Некст, КС; Бетанал 22, КЭ;
Эксперт Квадро, МКС|--
Эксперт Некст, КС|Агротех-Гарант-22, КЭ; Бетаниум 22, КЭ; Бельведер, СЭ; Бетахим 22, КЭ ; Бетацвай, КЭ ; Беташанс Дабл, КЭ; Бетинол 22, КЭ ; Бифор 22, ВСК; Бифор 22, КЭ ; Вымпел 2, КЭ; Доцент, КЭ; Секира Дуэт, КС; Секунда, КЭ; Эксперт 22, КЭ; Бетанал 22, КЭ;
Эксперт Трио ОФ, КЭ|АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; 
